ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Label
ENSG00000164871.17|SPAG11B|protein_coding	0.82997159831901	29.9881744667521	3.61237859699143	8.30150374928249	1.02801807519825E-16	1.98900937189357E-12	SPAG11B
ENSG00000077264.15|PAK3|protein_coding	867.7788516651	-3.02842154432301	0.687519405444536	-4.4048524599315	1.05855899120061E-05	0.0418695040403322	PAK3
ENSG00000089116.4|LHX5|protein_coding	11.3610483836703	3.87614063925562	0.888947175530431	4.36037229877326	1.29841339798425E-05	0.0418695040403322	LHX5
ENSG00000138823.13|MTTP|protein_coding	61.3545994658437	-2.85249349517593	0.642251816512476	-4.44139420370252	8.93778875831204E-06	0.0418695040403322	MTTP
ENSG00000171557.17|FGG|protein_coding	5500.75085453328	-3.7619799268412	0.860235371150852	-4.37319837454288	1.22439370782463E-05	0.0418695040403322	FGG
ENSG00000286135.1|AL603764.2|protein_coding	21.1697072263589	-4.0013255730485	0.913584492666186	-4.37980898884471	1.18783382600612E-05	0.0418695040403322	AL603764.2
ENSG00000101144.13|BMP7|protein_coding	468.364738816278	3.26543688319683	0.762016779295826	4.28525587876739	1.82528981323293E-05	0.046907560197121	BMP7
ENSG00000139800.8|ZIC5|protein_coding	32.9856139852526	3.87027539115893	0.911638302265294	4.24540673811294	2.18197251278731E-05	0.046907560197121	ZIC5
ENSG00000154227.13|CERS3|protein_coding	147.619237774283	3.5565867711967	0.836318991834425	4.25266770923795	2.11238908062357E-05	0.046907560197121	CERS3
ENSG00000010379.16|SLC6A13|protein_coding	33.0673008556927	2.61550012102463	0.639212382549882	4.09175446600571	4.28121816154051E-05	0.0637176992226814	
ENSG00000100344.11|PNPLA3|protein_coding	124.583736518499	1.68890352571892	0.412494168278163	4.09436946167932	4.23318830043105E-05	0.0637176992226814	
ENSG00000119125.17|GDA|protein_coding	228.064967930433	3.49625099040114	0.851926973690359	4.10393272941712	4.06185616901859E-05	0.0637176992226814	
ENSG00000181433.9|SAGE1|protein_coding	99.1277925294537	4.00293546595996	0.978165665703947	4.09228784684362	4.27137973165017E-05	0.0637176992226814	
ENSG00000069812.11|HES2|protein_coding	306.320382437035	2.34111313203912	0.579953226219618	4.03672749145564	5.42019659193814E-05	0.0722990839620247	
