GeneName	Module	kTotal	kWithin	kOut	kDiff
ENSG00000174371.17|EXO1|protein_coding	turquoise	456.742258254525	279.492360772104	177.249897482421	102.242463289683
ENSG00000122952.17|ZWINT|protein_coding	turquoise	461.998485450456	278.756497903762	183.241987546694	95.5145103570688
ENSG00000107833.10|NPM3|protein_coding	turquoise	480.712111912415	278.531794108134	202.18031780428	76.3514763038542
ENSG00000176619.13|LMNB2|protein_coding	turquoise	493.857092315843	278.483975512214	215.373116803629	63.1108587085846
ENSG00000163811.12|WDR43|protein_coding	turquoise	494.741841327543	278.227530959261	216.514310368282	61.7132205909795
ENSG00000138778.13|CENPE|protein_coding	turquoise	476.222482604942	278.08823432129	198.134248283652	79.9539860376382
ENSG00000136108.15|CKAP2|protein_coding	turquoise	485.267189030647	278.017151897343	207.250037133304	70.7671147640383
ENSG00000108106.14|UBE2S|protein_coding	turquoise	511.047029387456	276.372398914671	234.674630472785	41.6977684418864
ENSG00000278705.1|H4C2|protein_coding	turquoise	501.236789694231	274.854975788982	226.381813905249	48.4731618837326
ENSG00000138018.18|SELENOI|protein_coding	turquoise	471.150869244448	274.367244847073	196.783624397375	77.5836204496979
ENSG00000152253.9|SPC25|protein_coding	turquoise	470.382766255092	273.838659355073	196.54410690002	77.2945524550531
ENSG00000203760.9|CENPW|protein_coding	turquoise	495.750988332579	273.602390752274	222.148597580305	51.4537931719694
ENSG00000090889.12|KIF4A|protein_coding	turquoise	487.039520741619	273.327204163744	213.712316577875	59.6148875858689
ENSG00000125319.15|HROB|protein_coding	turquoise	503.850524904828	273.309288447107	230.541236457721	42.7680519893861
ENSG00000284753.2|EEF1AKMT4|protein_coding	turquoise	493.231738915738	273.002776338232	220.228962577506	52.7738137607261
ENSG00000188486.3|H2AX|protein_coding	turquoise	489.102717800128	272.032046277213	217.070671522914	54.9613747542992
ENSG00000135624.16|CCT7|protein_coding	turquoise	480.542442579751	271.766470971351	208.775971608399	62.9904993629519
ENSG00000111445.14|RFC5|protein_coding	turquoise	482.80771072196	271.54194480503	211.26576591693	60.2761788880993
ENSG00000077152.11|UBE2T|protein_coding	turquoise	461.704190563813	271.212293421456	190.491897142357	80.720396279099
ENSG00000115128.7|SF3B6|protein_coding	turquoise	479.804483706213	270.802210352667	209.002273353546	61.7999369991215
ENSG00000278828.1|H3C10|protein_coding	turquoise	489.24701591512	270.583791791367	218.663224123753	51.9205676676136
ENSG00000169607.13|CKAP2L|protein_coding	turquoise	471.871231419463	269.94337732431	201.927854095153	68.0155232291568
ENSG00000167513.9|CDT1|protein_coding	turquoise	502.937438232091	269.886019478194	233.051418753898	36.8346007242961
ENSG00000076248.11|UNG|protein_coding	turquoise	474.034363549243	269.812623880486	204.221739668757	65.590884211729
ENSG00000144554.12|FANCD2|protein_coding	turquoise	458.030759136495	269.748107373982	188.282651762514	81.4654556114679
ENSG00000171320.15|ESCO2|protein_coding	turquoise	482.328895465941	269.48517176175	212.843723704191	56.641448057559
ENSG00000146410.12|MTFR2|protein_coding	turquoise	486.506247042151	269.111988768903	217.394258273248	51.7177304956556
