GeneName	Reg	log2FoldChange
ENSG00000048828.17|FAM120A|protein_coding	Down	-0.21527558014967
ENSG00000110628.16|SLC22A18|protein_coding	Down	-0.215180515744509
ENSG00000151923.17|TIAL1|protein_coding	Down	-0.215159443997349
ENSG00000089820.16|ARHGAP4|protein_coding	Down	-0.215079890859132
ENSG00000152413.15|HOMER1|protein_coding	Down	-0.215051856035403
ENSG00000167658.16|EEF2|protein_coding	Down	-0.215043695716517
ENSG00000179981.11|TSHZ1|protein_coding	Down	-0.215043085907446
ENSG00000185015.8|CA13|protein_coding	Down	-0.215025734664583
ENSG00000112983.18|BRD8|protein_coding	Down	-0.214698147372494
ENSG00000099812.9|MISP|protein_coding	Down	-0.214520811456412
ENSG00000102109.9|PCSK1N|protein_coding	Down	-0.214442141811158
ENSG00000116793.16|PHTF1|protein_coding	Down	-0.214432465821548
ENSG00000169710.9|FASN|protein_coding	Down	-0.214377700057444
ENSG00000155876.6|RRAGA|protein_coding	Down	-0.214315319323809
ENSG00000153485.6|TMEM251|protein_coding	Down	-0.214277504526988
ENSG00000158714.11|SLAMF8|protein_coding	Down	-0.214262476759533
ENSG00000102218.6|RP2|protein_coding	Down	-0.214215272227522
ENSG00000254536.2|AL360181.3|protein_coding	Down	-0.214194814050491
ENSG00000203812.2|H2AC18|protein_coding	Down	-0.214184978400745
ENSG00000115850.10|LCT|protein_coding	Down	-0.214165418451645
ENSG00000188559.15|RALGAPA2|protein_coding	Down	-0.213968216817044
ENSG00000152223.15|EPG5|protein_coding	Down	-0.213918531498497
ENSG00000105829.13|BET1|protein_coding	Down	-0.213776471360465
ENSG00000102309.15|PIN4|protein_coding	Down	-0.21372656224716
ENSG00000138785.15|INTS12|protein_coding	Down	-0.213701781114894
ENSG00000112893.9|MAN2A1|protein_coding	Down	-0.21369895105994
ENSG00000161664.7|ASB16|protein_coding	Down	-0.213617023732134
ENSG00000140386.13|SCAPER|protein_coding	Down	-0.213506299475128
ENSG00000106591.4|MRPL32|protein_coding	Down	-0.213462477181427
ENSG00000115970.18|THADA|protein_coding	Down	-0.213428788654973
ENSG00000064393.16|HIPK2|protein_coding	Down	-0.213375327103122
ENSG00000180998.12|GPR137C|protein_coding	Down	-0.213359006157604
ENSG00000242110.8|AMACR|protein_coding	Down	-0.213356553881001
ENSG00000123989.14|CHPF|protein_coding	Down	-0.21332543051715
ENSG00000177839.7|PCDHB9|protein_coding	Down	-0.213324467949285
ENSG00000173540.14|GMPPB|protein_coding	Down	-0.213295707920005
ENSG00000152056.17|AP1S3|protein_coding	Down	-0.213217206013072
ENSG00000171561.4|OR2AT4|protein_coding	Down	-0.213215723292679
ENSG00000007202.15|KIAA0100|protein_coding	Down	-0.213201995359535
ENSG00000186440.2|OR6P1|protein_coding	Down	-0.213197368277633
ENSG00000166979.13|EVA1C|protein_coding	Down	-0.213191347962685
ENSG00000155744.9|FAM126B|protein_coding	Down	-0.2131585751816
ENSG00000169288.18|MRPL1|protein_coding	Down	-0.213134266969057
ENSG00000261221.4|ZNF865|protein_coding	Down	-0.213131586170524
ENSG00000196900.5|TEX43|protein_coding	Down	-0.213083205789089
ENSG00000182484.15|WASH6P|protein_coding	Down	-0.213049060762444
ENSG00000188263.10|IL17REL|protein_coding	Down	-0.213034295415127
ENSG00000163867.17|ZMYM6|protein_coding	Down	-0.213030680746742
ENSG00000171204.13|TMEM126B|protein_coding	Down	-0.212905077807753
ENSG00000147573.17|TRIM55|protein_coding	Down	-0.212858102170481
ENSG00000170915.9|PAQR8|protein_coding	Down	-0.212823670934724
ENSG00000006715.16|VPS41|protein_coding	Down	-0.212807371313822
ENSG00000143443.10|C1orf56|protein_coding	Down	-0.212776211996004
ENSG00000176495.3|OR5AN1|protein_coding	Down	-0.21274455704458
ENSG00000113621.15|TXNDC15|protein_coding	Down	-0.212695225610983
ENSG00000149328.15|GLB1L2|protein_coding	Down	-0.212605794690548
ENSG00000151338.18|MIPOL1|protein_coding	Down	-0.212508121698291
ENSG00000166578.10|IQCD|protein_coding	Down	-0.21247458077594
ENSG00000204140.10|CLPSL1|protein_coding	Down	-0.212427089583261
ENSG00000113578.18|FGF1|protein_coding	Down	-0.212422001926401
ENSG00000172339.10|ALG14|protein_coding	Down	-0.212408620505717
ENSG00000177830.18|CHID1|protein_coding	Down	-0.212402470677428
ENSG00000074695.6|LMAN1|protein_coding	Down	-0.212402290792444
ENSG00000259207.9|ITGB3|protein_coding	Down	-0.212369648457772
ENSG00000143674.11|MAP3K21|protein_coding	Down	-0.212355749972268
ENSG00000166833.22|NAV2|protein_coding	Down	-0.212311821018646
ENSG00000136450.13|SRSF1|protein_coding	Down	-0.212078578087717
ENSG00000100580.8|TMED8|protein_coding	Down	-0.212036865227628
ENSG00000196569.13|LAMA2|protein_coding	Down	-0.212031123734119
ENSG00000140577.16|CRTC3|protein_coding	Down	-0.211994033789412
ENSG00000164587.13|RPS14|protein_coding	Down	-0.211919134763513
ENSG00000101577.10|LPIN2|protein_coding	Down	-0.211814541354674
ENSG00000157766.19|ACAN|protein_coding	Down	-0.211738598512316
ENSG00000205758.12|CRYZL1|protein_coding	Down	-0.21154551314422
ENSG00000114383.10|TUSC2|protein_coding	Down	-0.211431000957423
ENSG00000170266.16|GLB1|protein_coding	Down	-0.21139535732687
ENSG00000153347.10|FAM81B|protein_coding	Down	-0.211085882016613
ENSG00000123213.23|NLN|protein_coding	Down	-0.211063896268054
ENSG00000217128.12|FNIP1|protein_coding	Down	-0.210996367774891
ENSG00000116171.19|SCP2|protein_coding	Down	-0.21097035328966
ENSG00000138002.16|IFT172|protein_coding	Down	-0.210920284351635
ENSG00000148120.17|AOPEP|protein_coding	Down	-0.210888982177793
ENSG00000169403.12|PTAFR|protein_coding	Down	-0.210741368225879
ENSG00000266964.6|FXYD1|protein_coding	Down	-0.210678002357998
ENSG00000162576.17|MXRA8|protein_coding	Down	-0.210405222764698
ENSG00000143416.21|SELENBP1|protein_coding	Down	-0.210197104016133
ENSG00000165271.17|NOL6|protein_coding	Down	-0.21014265857575
ENSG00000205358.4|MT1H|protein_coding	Down	-0.210133967154211
ENSG00000204882.4|GPR20|protein_coding	Down	-0.210083308889513
ENSG00000253953.3|PCDHGB4|protein_coding	Down	-0.210072366728325
ENSG00000166479.10|TMX3|protein_coding	Down	-0.209995119949685
ENSG00000156256.15|USP16|protein_coding	Down	-0.209895961632745
ENSG00000119965.13|C10orf88|protein_coding	Down	-0.209839917890882
ENSG00000152475.7|ZNF837|protein_coding	Down	-0.209820541582961
ENSG00000166676.17|TVP23A|protein_coding	Down	-0.209791390732894
ENSG00000137076.21|TLN1|protein_coding	Down	-0.209742785507089
ENSG00000085224.23|ATRX|protein_coding	Down	-0.209742431666694
ENSG00000164039.15|BDH2|protein_coding	Down	-0.209685380106276
ENSG00000026950.17|BTN3A1|protein_coding	Down	-0.209578800169616
ENSG00000169814.16|BTD|protein_coding	Down	-0.209501189554571
ENSG00000124406.16|ATP8A1|protein_coding	Down	-0.209472506692891
ENSG00000019991.18|HGF|protein_coding	Down	-0.209448451994633
ENSG00000118518.16|RNF146|protein_coding	Down	-0.209400087086876
ENSG00000164483.17|SAMD3|protein_coding	Down	-0.209286217472839
ENSG00000163492.15|CCDC141|protein_coding	Down	-0.20907119516708
ENSG00000177599.13|ZNF491|protein_coding	Down	-0.208977709721094
ENSG00000174306.21|ZHX3|protein_coding	Down	-0.208894665678946
ENSG00000128739.23|SNRPN|protein_coding	Down	-0.208844027303125
ENSG00000286001.1|AC021087.5|protein_coding	Down	-0.208752619828755
ENSG00000170270.5|GON7|protein_coding	Down	-0.208671763526643
ENSG00000171735.19|CAMTA1|protein_coding	Down	-0.208599660815693
ENSG00000100815.12|TRIP11|protein_coding	Down	-0.208579189477446
ENSG00000162998.5|FRZB|protein_coding	Down	-0.208552198033412
ENSG00000109475.16|RPL34|protein_coding	Down	-0.208527003489669
ENSG00000253251.3|SHLD3|protein_coding	Down	-0.208523878107683
ENSG00000172269.19|DPAGT1|protein_coding	Down	-0.20850122405578
ENSG00000089682.16|RBM41|protein_coding	Down	-0.20849328589472
ENSG00000113520.11|IL4|protein_coding	Down	-0.20848767075852
ENSG00000173821.19|RNF213|protein_coding	Down	-0.208475425079678
ENSG00000182405.6|PGBD4|protein_coding	Down	-0.208431460315987
ENSG00000145348.17|TBCK|protein_coding	Down	-0.208336209673333
ENSG00000131979.20|GCH1|protein_coding	Down	-0.208328634872203
ENSG00000107338.10|SHB|protein_coding	Down	-0.208274119640641
ENSG00000184005.11|ST6GALNAC3|protein_coding	Down	-0.20808126817062
ENSG00000110066.15|KMT5B|protein_coding	Down	-0.20796994410746
ENSG00000119408.17|NEK6|protein_coding	Down	-0.207961404004941
ENSG00000113583.8|C5orf15|protein_coding	Down	-0.207922204468858
ENSG00000158604.15|TMED4|protein_coding	Down	-0.207837989644076
ENSG00000172795.17|DCP2|protein_coding	Down	-0.207835698960982
ENSG00000179528.16|LBX2|protein_coding	Down	-0.207773746816716
ENSG00000206127.11|GOLGA8O|protein_coding	Down	-0.207769196143445
ENSG00000071203.9|MS4A12|protein_coding	Down	-0.207722656924518
ENSG00000145020.16|AMT|protein_coding	Down	-0.207547244222182
ENSG00000073969.18|NSF|protein_coding	Down	-0.207411875475884
ENSG00000168916.15|ZNF608|protein_coding	Down	-0.207327239790817
ENSG00000102316.17|MAGED2|protein_coding	Down	-0.20724784676849
ENSG00000101751.10|POLI|protein_coding	Down	-0.207233873408457
ENSG00000164880.16|INTS1|protein_coding	Down	-0.207051810884347
ENSG00000168675.19|LDLRAD4|protein_coding	Down	-0.207028056022584
ENSG00000010327.10|STAB1|protein_coding	Down	-0.2069993025148
ENSG00000103343.13|ZNF174|protein_coding	Down	-0.206900195569582
ENSG00000117174.11|ZNHIT6|protein_coding	Down	-0.206807665730703
ENSG00000089723.10|OTUB2|protein_coding	Down	-0.206753129443306
ENSG00000163281.12|GNPDA2|protein_coding	Down	-0.206740442348991
ENSG00000113580.15|NR3C1|protein_coding	Down	-0.206717429748207
ENSG00000100731.16|PCNX1|protein_coding	Down	-0.206714019660622
ENSG00000157240.4|FZD1|protein_coding	Down	-0.206702670456945
ENSG00000179954.16|SSC5D|protein_coding	Down	-0.206683942991953
ENSG00000275835.5|TUBGCP5|protein_coding	Down	-0.20667392117055
ENSG00000183439.9|TRIM61|protein_coding	Down	-0.206592048498244
ENSG00000123191.16|ATP7B|protein_coding	Down	-0.206585902280038
ENSG00000143315.8|PIGM|protein_coding	Down	-0.206559857753115
ENSG00000131375.10|CAPN7|protein_coding	Down	-0.206513808505542
ENSG00000184226.15|PCDH9|protein_coding	Down	-0.206343890713057
ENSG00000023318.8|ERP44|protein_coding	Down	-0.206341923845301
ENSG00000141295.14|SCRN2|protein_coding	Down	-0.206333259025759
ENSG00000178904.19|DPY19L3|protein_coding	Down	-0.206290092821326
ENSG00000140575.13|IQGAP1|protein_coding	Down	-0.206255659128852
ENSG00000166140.17|ZFYVE19|protein_coding	Down	-0.206200105162721
ENSG00000100478.15|AP4S1|protein_coding	Down	-0.206192440220379
ENSG00000253873.6|PCDHGA11|protein_coding	Down	-0.206184727666601
ENSG00000140750.17|ARHGAP17|protein_coding	Down	-0.206180482428068
ENSG00000258461.5|AC012651.1|protein_coding	Down	-0.206090298663236
ENSG00000151704.16|KCNJ1|protein_coding	Down	-0.206018560151186
ENSG00000100565.15|LRRC74A|protein_coding	Down	-0.205983442844914
ENSG00000178460.18|MCMDC2|protein_coding	Down	-0.205897232398487
ENSG00000284643.1|SCYGR2|protein_coding	Down	-0.20574509897503
ENSG00000174796.12|THAP6|protein_coding	Down	-0.20573472382475
ENSG00000137203.15|TFAP2A|protein_coding	Down	-0.205679550888902
ENSG00000175513.9|TSGA10IP|protein_coding	Down	-0.205634928354669
ENSG00000122432.18|SPATA1|protein_coding	Down	-0.205585996842889
ENSG00000115423.19|DNAH6|protein_coding	Down	-0.205482903137345
ENSG00000267385.1|AC011498.4|protein_coding	Down	-0.205467368874968
ENSG00000104331.9|BPNT2|protein_coding	Down	-0.205332270382393
ENSG00000102996.5|MMP15|protein_coding	Down	-0.205045104073688
ENSG00000257591.6|ZNF625|protein_coding	Down	-0.20499594951872
ENSG00000175471.19|MCTP1|protein_coding	Down	-0.204695504437301
ENSG00000146802.13|TMEM168|protein_coding	Down	-0.204686041029564
ENSG00000186866.17|POFUT2|protein_coding	Down	-0.204545520454789
ENSG00000213822.6|CEACAM18|protein_coding	Down	-0.204542680848834
ENSG00000169564.7|PCBP1|protein_coding	Down	-0.204480438951928
ENSG00000063587.15|ZNF275|protein_coding	Down	-0.204268476888199
ENSG00000165197.5|VEGFD|protein_coding	Down	-0.204246951446779
ENSG00000137714.3|FDX1|protein_coding	Down	-0.204098292285834
ENSG00000171307.19|ZDHHC16|protein_coding	Down	-0.204079723442068
ENSG00000185271.9|KLHL33|protein_coding	Down	-0.204048060859315
ENSG00000167306.20|MYO5B|protein_coding	Down	-0.20390120252369
ENSG00000086589.12|RBM22|protein_coding	Down	-0.203892623648485
ENSG00000146856.14|AGBL3|protein_coding	Down	-0.203820429388064
ENSG00000122390.19|NAA60|protein_coding	Down	-0.203820041603625
ENSG00000184867.14|ARMCX2|protein_coding	Down	-0.20372085895062
ENSG00000091164.13|TXNL1|protein_coding	Down	-0.203639609908936
ENSG00000157765.13|SLC34A2|protein_coding	Down	-0.203604463726902
ENSG00000068650.18|ATP11A|protein_coding	Down	-0.203583608940094
ENSG00000183010.17|PYCR1|protein_coding	Down	-0.203528191651317
ENSG00000103266.11|STUB1|protein_coding	Down	-0.203494217255786
ENSG00000180233.11|ZNRF2|protein_coding	Down	-0.203428447909176
ENSG00000225526.5|MKRN2OS|protein_coding	Down	-0.203393445770797
ENSG00000109132.7|PHOX2B|protein_coding	Down	-0.203360225997417
ENSG00000160007.19|ARHGAP35|protein_coding	Down	-0.203332956531471
ENSG00000172673.11|THEMIS|protein_coding	Down	-0.203216059452873
ENSG00000233701.3|PRR23C|protein_coding	Down	-0.203194340519435
ENSG00000168038.11|ULK4|protein_coding	Down	-0.203147007334515
ENSG00000112697.17|TMEM30A|protein_coding	Down	-0.203049712046582
ENSG00000154001.14|PPP2R5E|protein_coding	Down	-0.202766452218989
ENSG00000156232.7|WHAMM|protein_coding	Down	-0.202711900779251
ENSG00000135404.12|CD63|protein_coding	Down	-0.202589547022
ENSG00000157637.13|SLC38A10|protein_coding	Down	-0.202528216235035
ENSG00000136155.17|SCEL|protein_coding	Down	-0.202485404966658
ENSG00000013392.8|RWDD2A|protein_coding	Down	-0.20242400670531
ENSG00000168096.15|ANKS3|protein_coding	Down	-0.202416174191913
ENSG00000157106.17|SMG1|protein_coding	Down	-0.202338175676989
ENSG00000162378.13|ZYG11B|protein_coding	Down	-0.202250983997787
ENSG00000005339.15|CREBBP|protein_coding	Down	-0.202214044824072
ENSG00000234719.9|NPIPB2|protein_coding	Down	-0.202158751724706
ENSG00000182230.12|FAM153B|protein_coding	Down	-0.202074210585484
ENSG00000197021.9|EOLA2|protein_coding	Down	-0.202052788421346
ENSG00000132589.16|FLOT2|protein_coding	Down	-0.202019864479677
ENSG00000112977.16|DAP|protein_coding	Down	-0.201994467827822
ENSG00000054983.17|GALC|protein_coding	Down	-0.201976260052825
ENSG00000165943.5|MOAP1|protein_coding	Down	-0.201948461656389
ENSG00000278870.2|OR51G1|protein_coding	Down	-0.201884203890746
ENSG00000164855.16|TMEM184A|protein_coding	Down	-0.201844491768501
ENSG00000106070.20|GRB10|protein_coding	Down	-0.201802083652673
ENSG00000109016.17|DHRS7B|protein_coding	Down	-0.201796332252166
ENSG00000258881.6|AC007040.2|protein_coding	Down	-0.201781012793682
ENSG00000107282.8|APBA1|protein_coding	Down	-0.201714092329952
ENSG00000166228.9|PCBD1|protein_coding	Down	-0.201619012554337
ENSG00000092148.13|HECTD1|protein_coding	Down	-0.201526145780468
ENSG00000154485.5|MMP21|protein_coding	Down	-0.201363528884553
ENSG00000171503.12|ETFDH|protein_coding	Down	-0.201343064713516
ENSG00000132692.19|BCAN|protein_coding	Down	-0.20131475793361
ENSG00000162441.12|LZIC|protein_coding	Down	-0.201244038362396
ENSG00000145911.6|N4BP3|protein_coding	Down	-0.201227925350613
ENSG00000146535.14|GNA12|protein_coding	Down	-0.201214427641242
ENSG00000140488.16|CELF6|protein_coding	Down	-0.201191054383699
ENSG00000116473.14|RAP1A|protein_coding	Down	-0.201141825271585
ENSG00000152601.17|MBNL1|protein_coding	Down	-0.200908115697987
ENSG00000141753.7|IGFBP4|protein_coding	Down	-0.200795199265556
ENSG00000151687.14|ANKAR|protein_coding	Down	-0.200793945339998
ENSG00000147408.14|CSGALNACT1|protein_coding	Down	-0.200596136152008
ENSG00000153531.13|ADPRHL1|protein_coding	Down	-0.200591240379042
ENSG00000198077.10|CYP2A7|protein_coding	Down	-0.200549591674627
ENSG00000138944.8|SHISAL1|protein_coding	Down	-0.200396709498729
ENSG00000107679.14|PLEKHA1|protein_coding	Down	-0.20005725315111
ENSG00000103365.15|GGA2|protein_coding	Down	-0.200002552748802
ENSG00000230054.3|TEX53|protein_coding	Down	-0.199957465392857
ENSG00000119723.17|COQ6|protein_coding	Down	-0.199956324453347
ENSG00000119718.11|EIF2B2|protein_coding	Down	-0.199955541288241
ENSG00000112214.10|FHL5|protein_coding	Down	-0.199841951858539
ENSG00000134072.11|CAMK1|protein_coding	Down	-0.199835819510265
ENSG00000084764.12|MAPRE3|protein_coding	Down	-0.199763426051854
ENSG00000175606.11|TMEM70|protein_coding	Down	-0.19968174708518
ENSG00000101811.14|CSTF2|protein_coding	Down	-0.199449127050874
ENSG00000237765.8|FAM200B|protein_coding	Down	-0.199448769035936
ENSG00000265808.4|SEC22B|protein_coding	Down	-0.199331947817753
ENSG00000067208.14|EVI5|protein_coding	Down	-0.199330331060271
ENSG00000166450.13|PRTG|protein_coding	Down	-0.1991553141244
ENSG00000145391.13|SETD7|protein_coding	Down	-0.199054227978341
ENSG00000173517.10|PEAK1|protein_coding	Down	-0.199007015248847
ENSG00000106992.19|AK1|protein_coding	Down	-0.199004633052681
ENSG00000117791.16|MTARC2|protein_coding	Down	-0.198920803873781
ENSG00000170542.6|SERPINB9|protein_coding	Down	-0.19872333122238
ENSG00000161609.10|KASH5|protein_coding	Down	-0.198630388508004
ENSG00000129480.13|DTD2|protein_coding	Down	-0.198572801651379
ENSG00000204695.4|OR14J1|protein_coding	Down	-0.198550310836244
ENSG00000130811.12|EIF3G|protein_coding	Down	-0.198533642216165
ENSG00000254122.3|PCDHGB7|protein_coding	Down	-0.198049911357361
ENSG00000122696.14|SLC25A51|protein_coding	Down	-0.198024853631186
ENSG00000154975.14|CA10|protein_coding	Down	-0.198010565874926
ENSG00000100744.15|GSKIP|protein_coding	Down	-0.197993896021804
ENSG00000090581.10|GNPTG|protein_coding	Down	-0.197975682778063
ENSG00000047346.12|FAM214A|protein_coding	Down	-0.197947430146666
ENSG00000185201.16|IFITM2|protein_coding	Down	-0.197919300857219
ENSG00000113248.6|PCDHB15|protein_coding	Down	-0.19778735495749
ENSG00000148248.14|SURF4|protein_coding	Down	-0.197782334556906
ENSG00000178093.14|TSSK6|protein_coding	Down	-0.197533575749201
ENSG00000119431.9|HDHD3|protein_coding	Down	-0.197518397273547
ENSG00000124783.14|SSR1|protein_coding	Down	-0.197504993970059
ENSG00000143669.14|LYST|protein_coding	Down	-0.197364027866079
ENSG00000107938.18|EDRF1|protein_coding	Down	-0.19734038788393
ENSG00000153071.15|DAB2|protein_coding	Down	-0.197309457743754
ENSG00000104626.15|ERI1|protein_coding	Down	-0.197291578216359
ENSG00000141338.14|ABCA8|protein_coding	Down	-0.197197083752025
ENSG00000128607.14|KLHDC10|protein_coding	Down	-0.197192784744717
ENSG00000128228.5|SDF2L1|protein_coding	Down	-0.197117254366783
ENSG00000125726.11|CD70|protein_coding	Down	-0.197092602189746
ENSG00000156017.13|CARNMT1|protein_coding	Down	-0.197062086080542
ENSG00000255393.2|OOSP4B|protein_coding	Down	-0.197045184181053
ENSG00000101079.21|NDRG3|protein_coding	Down	-0.197005256688803
ENSG00000131080.15|EDA2R|protein_coding	Down	-0.197000488103793
ENSG00000171860.5|C3AR1|protein_coding	Down	-0.196812966871157
ENSG00000164828.18|SUN1|protein_coding	Down	-0.196686581457968
ENSG00000100811.14|YY1|protein_coding	Down	-0.196647537286512
ENSG00000147027.4|TMEM47|protein_coding	Down	-0.196626228699517
ENSG00000113108.19|APBB3|protein_coding	Down	-0.196574555165851
ENSG00000060642.11|PIGV|protein_coding	Down	-0.196502783218859
ENSG00000116824.5|CD2|protein_coding	Down	-0.19642356258889
ENSG00000149658.18|YTHDF1|protein_coding	Down	-0.196269815494867
ENSG00000170464.10|DNAJC18|protein_coding	Down	-0.196211300517057
ENSG00000163884.4|KLF15|protein_coding	Down	-0.19600920725312
ENSG00000163645.15|ERICH6|protein_coding	Down	-0.195994967221198
ENSG00000158286.13|RNF207|protein_coding	Down	-0.195992329547242
ENSG00000198553.9|KCNRG|protein_coding	Down	-0.195941343447158
ENSG00000178852.16|EFCAB13|protein_coding	Down	-0.195931308211077
ENSG00000087338.5|GMCL1|protein_coding	Down	-0.195899814337351
ENSG00000147676.14|MAL2|protein_coding	Down	-0.195726387012488
ENSG00000266472.6|MRPS21|protein_coding	Down	-0.195722823082715
ENSG00000103429.11|BFAR|protein_coding	Down	-0.195602942385023
ENSG00000166736.11|HTR3A|protein_coding	Down	-0.195584111448054
ENSG00000226887.8|ERVMER34-1|protein_coding	Down	-0.195572276686004
ENSG00000095110.8|NXPE1|protein_coding	Down	-0.195553532456654
ENSG00000126351.13|THRA|protein_coding	Down	-0.195371597630564
ENSG00000248771.5|SMIM31|protein_coding	Down	-0.195266592626502
ENSG00000205133.12|TRIQK|protein_coding	Down	-0.195255310358873
ENSG00000185088.14|RPS27L|protein_coding	Down	-0.195135599920701
ENSG00000178409.14|BEND3|protein_coding	Down	-0.195130665861167
ENSG00000132467.4|UTP3|protein_coding	Down	-0.195117348377111
ENSG00000108342.13|CSF3|protein_coding	Down	-0.194911389672732
ENSG00000143891.17|GALM|protein_coding	Down	-0.194900510238387
ENSG00000189060.5|H1-0|protein_coding	Down	-0.194898131889915
ENSG00000170677.6|SOCS6|protein_coding	Down	-0.19484797233811
ENSG00000185220.12|PGBD2|protein_coding	Down	-0.194823343567834
ENSG00000139496.16|NUP58|protein_coding	Down	-0.194821469976642
ENSG00000104213.13|PDGFRL|protein_coding	Down	-0.194706998601997
ENSG00000205116.3|TMEM88B|protein_coding	Down	-0.194620934859834
ENSG00000173614.14|NMNAT1|protein_coding	Down	-0.194620176071877
ENSG00000089847.12|ANKRD24|protein_coding	Down	-0.19443981823201
ENSG00000071575.11|TRIB2|protein_coding	Down	-0.194406124482656
ENSG00000171813.14|PWWP2B|protein_coding	Down	-0.194401186942862
ENSG00000277322.1|GOLGA6L6|protein_coding	Down	-0.194344370121816
ENSG00000160111.14|CPAMD8|protein_coding	Down	-0.194298770165874
ENSG00000186143.11|PRR30|protein_coding	Down	-0.194205750654582
ENSG00000186468.13|RPS23|protein_coding	Down	-0.194174922544314
ENSG00000168283.14|BMI1|protein_coding	Down	-0.194165886517268
ENSG00000243667.7|WDR92|protein_coding	Down	-0.194142410775509
ENSG00000154813.10|DPH3|protein_coding	Down	-0.194057896264164
ENSG00000104043.15|ATP8B4|protein_coding	Down	-0.194012758122827
ENSG00000285162.1|AC004593.2|protein_coding	Down	-0.19394204906673
ENSG00000168421.13|RHOH|protein_coding	Down	-0.1938779561018
ENSG00000106648.14|GALNTL5|protein_coding	Down	-0.193876556266227
ENSG00000077147.16|TM9SF3|protein_coding	Down	-0.193829041225262
ENSG00000077984.6|CST7|protein_coding	Down	-0.193659855981779
ENSG00000147655.12|RSPO2|protein_coding	Down	-0.193657193175072
ENSG00000169676.6|DRD5|protein_coding	Down	-0.193623320910908
ENSG00000136156.15|ITM2B|protein_coding	Down	-0.193615473081836
ENSG00000123154.12|WDR83|protein_coding	Down	-0.193501841652224
ENSG00000198873.12|GRK5|protein_coding	Down	-0.193489287646712
ENSG00000168303.9|MPLKIP|protein_coding	Down	-0.19345711349342
ENSG00000078043.16|PIAS2|protein_coding	Down	-0.19341474121332
ENSG00000092009.10|CMA1|protein_coding	Down	-0.193342118455313
ENSG00000065413.20|ANKRD44|protein_coding	Down	-0.193297356923876
ENSG00000155034.19|FBXL18|protein_coding	Down	-0.193252544630223
ENSG00000173578.8|XCR1|protein_coding	Down	-0.193202500372567
ENSG00000077235.18|GTF3C1|protein_coding	Down	-0.193178543478731
ENSG00000167930.17|FAM234A|protein_coding	Down	-0.193149404472278
ENSG00000205882.8|DEFB134|protein_coding	Down	-0.193050502261373
ENSG00000112308.13|C6orf62|protein_coding	Down	-0.193006294973186
ENSG00000152580.8|IGSF10|protein_coding	Down	-0.192952169697817
ENSG00000125863.20|MKKS|protein_coding	Down	-0.192928346395337
ENSG00000181991.16|MRPS11|protein_coding	Down	-0.192747942533958
ENSG00000184347.15|SLIT3|protein_coding	Down	-0.192517052451942
ENSG00000114650.20|SCAP|protein_coding	Down	-0.192411778880727
ENSG00000140471.17|LINS1|protein_coding	Down	-0.192336638304388
ENSG00000129595.14|EPB41L4A|protein_coding	Down	-0.192242074144293
ENSG00000121005.9|CRISPLD1|protein_coding	Down	-0.19221591070737
ENSG00000105520.10|PLPPR2|protein_coding	Down	-0.192111952703065
ENSG00000182093.16|GET1|protein_coding	Down	-0.192045427885017
ENSG00000094631.21|HDAC6|protein_coding	Down	-0.192015976692009
ENSG00000165476.14|REEP3|protein_coding	Down	-0.191902808946163
ENSG00000186812.13|ZNF397|protein_coding	Down	-0.191850071013516
ENSG00000188321.13|ZNF559|protein_coding	Down	-0.191743246855306
ENSG00000106355.10|LSM5|protein_coding	Down	-0.191672966909271
ENSG00000227124.11|ZNF717|protein_coding	Down	-0.191663809880916
ENSG00000163528.13|CHCHD4|protein_coding	Down	-0.191558591985046
ENSG00000048140.18|TSPAN17|protein_coding	Down	-0.191535666859668
ENSG00000167323.11|STIM1|protein_coding	Down	-0.191513634971952
ENSG00000228278.5|ORM2|protein_coding	Down	-0.191417772213958
ENSG00000135821.19|GLUL|protein_coding	Down	-0.19136421726596
ENSG00000196776.17|CD47|protein_coding	Down	-0.191347468896432
ENSG00000144747.17|TMF1|protein_coding	Down	-0.191293064727533
ENSG00000142556.19|ZNF614|protein_coding	Down	-0.191212585701666
ENSG00000170502.13|NUDT9|protein_coding	Down	-0.191076647806523
ENSG00000121057.13|AKAP1|protein_coding	Down	-0.191024826303605
ENSG00000009724.17|MASP2|protein_coding	Down	-0.190933643565114
ENSG00000132801.7|ZSWIM3|protein_coding	Down	-0.190904166217403
ENSG00000128694.12|OSGEPL1|protein_coding	Down	-0.190886625114383
ENSG00000142599.19|RERE|protein_coding	Down	-0.190770156771942
ENSG00000104047.15|DTWD1|protein_coding	Down	-0.190766177540338
ENSG00000268041.2|ERFL|protein_coding	Down	-0.190761403123944
ENSG00000089289.16|IGBP1|protein_coding	Down	-0.190725547493286
ENSG00000180697.9|C3orf22|protein_coding	Down	-0.190696365454334
ENSG00000101213.7|PTK6|protein_coding	Down	-0.19068626522837
ENSG00000154447.15|SH3RF1|protein_coding	Down	-0.190684688652324
ENSG00000172113.9|NME6|protein_coding	Down	-0.190544785931592
ENSG00000102057.10|KCND1|protein_coding	Down	-0.190515893461149
ENSG00000204390.10|HSPA1L|protein_coding	Down	-0.190493337716412
ENSG00000004866.22|ST7|protein_coding	Down	-0.190464353028505
ENSG00000156697.13|UTP14A|protein_coding	Down	-0.190400829176693
ENSG00000243449.6|C4orf48|protein_coding	Down	-0.19030363209379
