GeneName	Reg	log2FoldChange
ENSG00000188655.10|RNASE9|protein_coding	Down	-1.7857531871229
ENSG00000241186.10|TDGF1|protein_coding	Down	-1.76925180230354
ENSG00000130643.9|CALY|protein_coding	Down	-1.76455548185843
ENSG00000080511.5|RDH8|protein_coding	Down	-1.7507105828219
ENSG00000176571.12|CNBD1|protein_coding	Down	-1.73925810137827
ENSG00000284638.1|AC005551.1|protein_coding	Down	-1.72734882785903
ENSG00000164265.9|SCGB3A2|protein_coding	Down	-1.72687446760542
ENSG00000096088.16|PGC|protein_coding	Down	-1.72516843487225
ENSG00000120659.15|TNFSF11|protein_coding	Down	-1.71429149562294
ENSG00000175426.11|PCSK1|protein_coding	Down	-1.70957314265223
ENSG00000196136.18|SERPINA3|protein_coding	Down	-1.70819880992028
ENSG00000021852.13|C8B|protein_coding	Down	-1.70596840070226
ENSG00000213759.10|UGT2B11|protein_coding	Down	-1.70546386487382
ENSG00000170777.10|TPD52L3|protein_coding	Down	-1.70314023274523
ENSG00000183185.9|GABRR3|protein_coding	Down	-1.70108393385627
ENSG00000205097.7|FRG2|protein_coding	Down	-1.69773101245155
ENSG00000288607.1|ELOA3B|protein_coding	Down	-1.69144433005057
ENSG00000204518.2|AADACL4|protein_coding	Down	-1.69043441775495
ENSG00000172927.8|MYEOV|protein_coding	Down	-1.68926851724539
ENSG00000105641.4|SLC5A5|protein_coding	Down	-1.68636994082343
ENSG00000198443.6|KRTAP4-1|protein_coding	Down	-1.68095446607645
ENSG00000091583.11|APOH|protein_coding	Down	-1.68017261048067
ENSG00000234224.3|TMEM229A|protein_coding	Down	-1.67939620790068
ENSG00000171136.7|RLN3|protein_coding	Down	-1.678791348472
ENSG00000189127.8|ANKRD34B|protein_coding	Down	-1.67585618135271
ENSG00000104760.17|FGL1|protein_coding	Down	-1.67376942236808
ENSG00000203870.5|SMIM9|protein_coding	Down	-1.67178765922015
ENSG00000124749.17|COL21A1|protein_coding	Down	-1.66515941709809
ENSG00000204335.4|SP5|protein_coding	Down	-1.66231635312703
ENSG00000123407.4|HOXC12|protein_coding	Down	-1.65744329501492
ENSG00000108551.5|RASD1|protein_coding	Down	-1.65367638623786
ENSG00000151025.11|GPR158|protein_coding	Down	-1.64435925471314
ENSG00000165389.7|SPTSSA|protein_coding	Down	-1.6404122447059
ENSG00000124391.5|IL17C|protein_coding	Down	-1.63574161171224
ENSG00000180988.2|OR52N2|protein_coding	Down	-1.6324311223595
ENSG00000129910.8|CDH15|protein_coding	Down	-1.62326532774359
ENSG00000181017.6|OR56B2P|protein_coding	Down	-1.62023733383904
ENSG00000196240.4|OR2T2|protein_coding	Down	-1.61683440619527
ENSG00000004848.8|ARX|protein_coding	Down	-1.60699319651279
ENSG00000137673.9|MMP7|protein_coding	Down	-1.60419777005423
ENSG00000184530.9|C6orf58|protein_coding	Down	-1.60348723387014
ENSG00000215182.8|MUC5AC|protein_coding	Down	-1.6019396778839
ENSG00000214513.4|NOTO|protein_coding	Down	-1.6016433924302
ENSG00000109758.9|HGFAC|protein_coding	Down	-1.60080433502925
ENSG00000104044.16|OCA2|protein_coding	Down	-1.59994027905448
ENSG00000204382.11|XAGE1B|protein_coding	Down	-1.59226362566509
ENSG00000145642.12|SHISAL2B|protein_coding	Down	-1.58525091859285
ENSG00000102854.16|MSLN|protein_coding	Down	-1.58343008077464
ENSG00000105929.16|ATP6V0A4|protein_coding	Down	-1.58172443949628
ENSG00000175311.7|ANKS4B|protein_coding	Down	-1.58143856841716
ENSG00000171587.15|DSCAM|protein_coding	Down	-1.57701249539424
ENSG00000284713.1|SMIM38|protein_coding	Down	-1.57536895181499
ENSG00000198183.12|BPIFA1|protein_coding	Down	-1.572855031447
ENSG00000145526.12|CDH18|protein_coding	Down	-1.57115848447187
ENSG00000182901.17|RGS7|protein_coding	Down	-1.56897548484
ENSG00000152595.16|MEPE|protein_coding	Down	-1.56407842400154
ENSG00000157851.17|DPYSL5|protein_coding	Down	-1.56074892405368
ENSG00000101883.5|RHOXF1|protein_coding	Down	-1.56040057161026
ENSG00000109906.14|ZBTB16|protein_coding	Down	-1.56039545363946
ENSG00000203685.10|STUM|protein_coding	Down	-1.55539573903011
ENSG00000197893.14|NRAP|protein_coding	Down	-1.55096369432597
ENSG00000184155.8|OR10J5|protein_coding	Down	-1.54770393696335
ENSG00000036473.8|OTC|protein_coding	Down	-1.5462482430464
ENSG00000136881.12|BAAT|protein_coding	Down	-1.54298729397315
ENSG00000196917.6|HCAR1|protein_coding	Down	-1.53376706745065
ENSG00000184698.5|OR51M1|protein_coding	Down	-1.5333693968707
ENSG00000163285.8|GABRG1|protein_coding	Down	-1.52883078787989
ENSG00000170367.5|CST5|protein_coding	Down	-1.52644653505215
ENSG00000235034.7|C19orf81|protein_coding	Down	-1.524609770156
ENSG00000198967.4|OR10Z1|protein_coding	Down	-1.52240111308387
ENSG00000154678.18|PDE1C|protein_coding	Down	-1.51768241432833
