	MEorange	MEyellowgreen	MEplum1	MEgreen	MEpaleturquoise	MElightyellow	MEyellow	MEskyblue3	MEblue	MEbrown	MEred	MEdarkgreen	MEsalmon	MEcyan	MEgrey60	MEmidnightblue	MEorangered4	MEblack	MEdarkgrey	MEdarkorange	MEwhite	MEdarkolivegreen	MEdarkmagenta	MEviolet	MEturquoise	MEdarkturquoise	MEskyblue
C3N_01408	-0.0400558832275353	0.183040731916724	-0.030095053844329	-0.061911911406555	-0.123417760896063	0.169527943526533	0.180799173647307	-0.134551232396986	0.132005579622191	0.111886533703073	0.0258497994028889	0.0957879934185321	0.0636741329526415	-0.0578269363237121	0.0183906971610887	-0.0276532510469634	0.196351007351903	-0.0510501503851241	0.0945373065983424	0.115991293426937	-0.0184678302738851	0.0434276842758802	0.156916293459984	0.0499298208929365	-0.0925865913022593	-0.0234415410773183	-0.0790090338488822
C3N_02088	-0.0273458623539131	-0.0329381195752773	-0.0696860244010064	0.212730346191196	0.162686850847394	0.0968616522685656	0.207984391738044	0.0965963533555073	0.187411788459979	0.0355400613732875	0.364434374069429	0.0992864547421621	0.0696494096354093	0.148341255251322	-0.0563988421134926	-0.0346004048091214	0.1217944924216	-0.224926518641103	-0.0928221523213029	-0.0885914545904913	-0.0716862566373025	0.137473281309012	0.0498495182603451	0.000102386003810961	-0.16623600728682	0.00846299840546394	-0.0207495807800504
C3N_03076	0.00567757568388105	-0.0486416269335386	-0.108097978239553	0.258076265721268	0.241116215279296	-0.259401536162101	-0.0625429901935013	-0.0273902889306545	-0.102826875259217	-0.334212667557932	-0.141620415813237	-0.231817545880312	-0.00452664095439814	0.108664113343137	-0.253498742528268	-0.0639500632061365	-0.354820335888802	-0.209072897440344	-0.252303056091367	-0.32533549775797	0.154915168720321	0.0260922091362353	-0.167105081228753	-0.00737621150201218	0.200083150796489	0.178702797074111	0.185582487481864
C3N_01489	0.213315367083599	0.109443072050217	0.149490285845032	0.0568579807887242	0.111530871578629	0.102289396816847	0.164943566640288	-0.0602247531155131	-0.0500442622719942	0.0440389029428937	-0.141737825931735	0.0353210301931395	0.143529856275591	-0.118792011582697	0.00897308915112675	-0.0654181322613044	0.0673062024295474	0.0852017335445838	0.163559313598397	0.168304998542954	0.162735763299402	-0.101431830933732	0.00045705819789138	0.0996192835018241	-0.0427383601349443	-0.0860529959484305	0.0381415967361819
C3N_02928	0.0588192035620408	-0.0698954762741318	0.0348965241957747	0.162658128076582	0.115656793681796	0.081660201713631	0.116225898792684	-0.0246321247042668	0.184741280980262	0.0322820224407599	0.0577215945653063	-0.0567685698076796	0.0654201982774565	0.110253877776625	-0.0228317415027443	-0.0351237999258635	-0.244491632399044	-0.175871542476089	-0.179641830570628	-0.0814714003445899	-0.1888586306058	0.191352030150102	-0.0574729662722702	-0.0147490958977009	-0.192585316510231	0.000952802078945022	-0.0671762536277995
C3N_03057	0.222347730633568	-0.209937603168127	-0.147268696535938	0.103586039178027	-0.141505564635334	-0.0658915650094779	0.0600043005970622	0.0549856978598997	0.251570384490759	0.0122600574023945	0.0982618740380573	0.0336140306095296	0.220909670281619	0.165323263784994	0.0257349313224793	-0.0396115344215489	-0.226713208254746	-0.213444431091928	-0.28620362987655	-0.225449505786044	-0.150609705344689	-0.0389174314920751	-0.25889662628025	-0.166773539884102	-0.225843944773908	-0.035107572607104	-0.201878385994533
C3N_00560	-0.0069590803602038	-0.0980403007448404	0.134109124430361	-0.14299602880086	-0.100267215289882	-0.165302758732425	-0.168035924045633	-0.00754234851462915	-0.103663852433847	-0.0590069508955621	-0.0351673799207667	0.0886851285699175	-0.0631887126369634	0.0182383545177115	0.140382033949165	0.234486763670366	0.119794458197155	0.127914237209068	-0.0252316679337771	0.0155580945938527	0.0115317154851171	-0.192973531585536	-0.160566461951879	-0.07638914323595	0.155824529099722	-0.0205764952683194	-0.049603437237488
C3N_02150	0.138862311518383	0.235059085727466	-0.15651338122454	-0.0757727246421031	0.0175145199700329	-0.0751429400487012	-0.029439331041021	0.193089429887729	-0.104881422643186	-0.00328277179657731	-0.163041388193735	-0.142796548776524	-0.0288622430749049	-0.11777122712455	0.0124686520962118	-0.00452889851655497	-0.109615990447669	0.0613379314309761	0.136805470961286	0.00233422543125116	0.328976318913367	-0.106954173283982	-0.129397194943948	-0.135427816091002	0.0769728350612048	-0.150051558749067	-0.0434490710784661
C3N_00551	-0.013314456304074	0.110513446930721	0.312655253825564	0.0567318429532932	0.219757167932049	0.206064907368595	0.0601380281429876	-0.116257985552102	-0.0618324827468717	0.0782277717268836	-0.0905028126217931	-0.00928478221060564	-0.0211539416343882	-0.182736346650115	-0.00136754265037353	-0.100214914059252	-0.0690915491846212	0.153763934006525	0.255361326207974	0.205150985202614	-0.126783253421211	0.00912847404392493	0.13466338016878	0.138850732964919	0.0172408042253971	-0.112035454299607	-0.0818283699925738
C3N_02089	0.0664135863998553	0.209735003932511	-0.194127013586063	-0.318491947618044	-0.295562648467225	-0.295562114125107	-0.198213033827046	0.0946222603841179	-0.269055129286455	-0.278974891458762	-0.200896331011468	-0.236554074009513	-0.121366172933764	-0.0991803321232206	-0.0990826442834622	0.114914635193766	0.115576664507253	0.23341674220756	0.0639109441813779	-0.155097677649104	0.397857225600177	-0.258022433181856	-0.24508375900171	-0.0675622414496699	0.405206392724978	0.0430212230297972	0.0768588360955056
C3N_03054	0.329595986368067	-0.193370296963973	-0.00593535980690227	0.314295122663512	-0.10160847676741	-0.121257523653265	0.126160776938739	-0.000818559218312319	0.240385687724428	-0.101182725375802	0.580587844473197	0.291560381290582	0.467788275898305	0.238394051203399	-0.0817450409914835	0.0139252174443711	-0.257165528408995	-0.376140421889933	-0.376340125417039	-0.304009574133098	-0.0593048428199709	0.0292279683870529	-0.209867123971221	-0.0803053161784635	-0.266855088124814	0.0532495973911835	-0.0983516647360895
C3N_01028	0.219125175255452	0.142768801147597	0.0891474971471549	-0.0286107991999606	0.0512220555100559	-0.166641390767679	0.00035067623583287	-0.203818780458823	-0.12687924711127	-0.252788391592916	-0.104590730292116	0.00471678889458417	0.106211040129403	-0.0634379867274736	-0.195866915704593	-0.0451569283787424	-0.125943980796317	-0.0440399273564553	-0.0317162264822163	-0.1442566231031	0.0492490058523775	-0.0021057640449854	0.0104989249259964	0.123248496083765	0.10584821945179	0.20156865625794	0.181321564378309
C3N_01016	-0.0496650225657017	-0.0595435274279119	-0.0496688645422739	0.0498608765320516	0.116154420216229	-0.252463733790375	-0.145186889558473	0.187460439491159	-0.0295869071049827	-0.0187960060744837	-0.0129048918731491	0.0751187747821699	0.0443947748054575	0.25416170584269	0.252710185530779	0.358574110821772	-0.141858326793234	-0.0012289669789933	-0.287156860723891	-0.104453233829175	-0.136500059031928	-0.211582009272678	-0.287326680978077	-0.184789147449149	0.00456814397140776	-0.0577549261345299	-0.152895086800469
C3N_02153	-0.331639550289677	-0.283161048522939	-0.332788723308027	-0.175864928231701	-0.233755506682813	0.180967819809444	-0.0747856692416688	0.326902475925911	0.217075269245147	0.263110832237375	-0.0260495948382787	-0.186157714779755	-0.211391093160692	-0.0119402922167293	-0.0173424549488474	-0.146961813453408	-0.135025093850068	-0.073762247885784	0.0514647222449053	0.021730567968056	0.196529228397208	0.0756469836532491	0.143434135335352	-0.165273779716065	-0.111112977352895	-0.101656833612548	0.0311820450704685
C3N_00556	0.105513410503337	0.1914154365794	0.157768297167898	0.289432527629195	0.425486361527877	0.144516113618276	0.215856059073205	-0.0643718111302565	-0.093612360586974	-0.0752189958482256	-0.176477368120659	-0.211881337213248	-0.0642738848050875	-0.0911874756711049	-0.13059694781301	-0.145376584987463	-0.040318756903538	-0.0199208994520968	0.0472135095281069	0.124980488204126	-0.183076103491288	0.233439923169811	0.0121816388740348	0.199641024655358	0.0027857971684614	-0.0675526486199803	0.0961162393314152
C3N_04127	0.226991828178394	0.34948168179428	0.105190640480348	0.101442254444715	0.165406625645972	-0.0162033194043494	0.122803384713556	-0.175180352103993	-0.101604291148199	-0.224051496778459	-0.0921983791800828	0.00669916185322272	0.139663208720372	-0.10389937794449	-0.231223735993848	-0.0597915739702821	0.00643223706408493	-0.148461035390959	-0.0119894025756881	-0.160346408807819	-0.0382099923168595	0.194545036656322	0.120858286021027	0.36471429350766	0.0733164207234533	0.259435343869599	0.172291850758659
