Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of actin cytoskeleton	1/218	0.465054680848442	0.520418333330399	1.62327188940092	1.24277742454376	ACTN1
Human cytomegalovirus infection	1/225	0.475753211465355	0.526127080914628	1.57198660714286	1.167759718417	HLA-G
Coronavirus disease	1/232	0.486241458267056	0.531473221826782	1.52380952380952	1.09874278209474	HBEGF
Endocytosis	1/252	0.515085080454799	0.556528707617829	1.40096755833808	0.929434362711692	HLA-G
Prion disease	1/273	0.543658504194921	0.580726129480938	1.29142594537815	0.787038852327372	PRNP
MAPK signaling pathway	1/294	0.570576062374668	0.602630897339537	1.19758654314968	0.671976339448738	HSPB1
Huntington disease	1/306	0.585250602996485	0.61126174090744	1.14976580796253	0.615946953411368	WIPI1
Neuroactive ligand-receptor interaction	1/341	0.625294556080645	0.645908662325062	1.02956932773109	0.483416209449192	UTS2B
PI3K-Akt signaling pathway	1/354	0.639179207438942	0.653074407600658	0.990995548360987	0.443540287948313	LAMA3
Amyotrophic lateral sclerosis	1/364	0.649514567127462	0.656498594730983	0.963203463203463	0.415651204832921	WIPI1
Herpes simplex virus 1 infection	1/498	0.762907875649777	0.762907875649777	0.698692152917505	0.189078669288854	HLA-G
