Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Inflammatory mediator regulation of TRP channels	1/98	0.19058217975639732	0.3234601983463663	0	0	4.87481590574374	8.080844796889387	IL1B
Hematopoietic cell lineage	1/99	0.1923309947723218	0.3234601983463663	0	0	4.824829931972789	7.953912881527455	IL1B
AGE-RAGE signaling pathway in diabetic complications	1/100	0.19407611900781976	0.3234601983463663	0	0	4.775853775853776	7.830035336967146	IL1B
Th17 cell differentiation	1/107	0.20618928379837767	0.3366355653851064	0	0	4.458894878706199	7.04041968388812	IL1B
Neurotrophin signaling pathway	1/119	0.22654225473863968	0.3624676075818235	0	0	4.003026634382566	5.9437892040372455	RIPK2
Lysosome	1/128	0.2414716005722128	0.3787789812897456	0	0	3.717660292463442	5.28280794827189	CTSL
Autophagy	1/137	0.25611935364957467	0.3841996095059061	0	0	3.470063025210084	4.72661350869186	CTSL
Yersinia infection	1/137	0.25611935364957467	0.3841996095059061	0	0	3.470063025210084	4.72661350869186	IL1B
Measles	1/139	0.2593366925673939	0.3841996095059061	0	0	3.4194271911663217	4.614954989629512	IL1B
Apoptosis	1/142	0.26413723153531043	0.3841996095059061	0	0	3.3461668355285377	4.454706716389069	CTSL
Breast cancer	1/147	0.27207067761838805	0.3858857449931493	0	0	3.230756686236138	4.205454662763331	NFKB2
Phagosome	1/152	0.2799205601071776	0.3858857449931493	0	0	3.1229895931882687	3.976344719329917	CTSL
Oxytocin signaling pathway	1/154	0.2830373081000099	0.3858857449931493	0	0	3.0818549642079054	3.889845094941561	TRPM2
Non-alcoholic fatty liver disease	1/155	0.28459073693244763	0.3858857449931493	0	0	3.061688311688312	3.8476333196795687	IL1B
Necroptosis	1/159	0.2907716433943443	0.38737450921439764	0	0	2.9835744424352018	3.6853620226618986	IL1B
JAK-STAT signaling pathway	1/162	0.29537306327597823	0.38737450921439764	0	0	2.927536231884058	3.5701775690755357	OSM
Influenza A	1/172	0.31050151359359995	0.4006471143143225	0	0	2.7549429128376497	3.222088948319759	IL1B
Axon guidance	1/182	0.3253125481917563	0.40938112730815807	0	0	2.6014206787687453	2.9213144453201942	SEMA6B
